Code_x;Parent_x;NUTS-Code_x;Description_x;Code_y;Parent_y;NUTS-Code_y;Description_y
20;10.0;BE1;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;30;20.0;BE10;Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
50;10.0;BE2;Vlaams Gewest;60;50.0;BE21;Prov. Antwerpen
50;10.0;BE2;Vlaams Gewest;100;50.0;BE22;Prov. Limburg (BE)
50;10.0;BE2;Vlaams Gewest;140;50.0;BE23;Prov. Oost-Vlaanderen
50;10.0;BE2;Vlaams Gewest;210;50.0;BE24;Prov. Vlaams-Brabant
50;10.0;BE2;Vlaams Gewest;240;50.0;BE25;Prov. West-Vlaanderen
330;10.0;BE3;Région wallonne;340;330.0;BE31;Prov. Brabant Wallon
330;10.0;BE3;Région wallonne;360;330.0;BE32;Prov. Hainaut
330;10.0;BE3;Région wallonne;440;330.0;BE33;Prov. Liège
330;10.0;BE3;Région wallonne;500;330.0;BE34;Prov. Luxembourg (BE)
330;10.0;BE3;Région wallonne;560;330.0;BE35;Prov. Namur
600;10.0;BEZ;Extra-Regio NUTS 1;610;600.0;BEZZ;Extra-Regio NUTS 2
640;630.0;BG3;Северна и югоизточна България (Severna I Yugoiztochna Bulgaria);650;640.0;BG31;Северозападен (Severozapaden)
640;630.0;BG3;Северна и югоизточна България (Severna I Yugoiztochna Bulgaria);710;640.0;BG32;Северен централен (Severen tsentralen)
640;630.0;BG3;Северна и югоизточна България (Severna I Yugoiztochna Bulgaria);770;640.0;BG33;Североизточен (Severoiztochen)
640;630.0;BG3;Северна и югоизточна България (Severna I Yugoiztochna Bulgaria);820;640.0;BG34;Югоизточен (Yugoiztochen)
870;630.0;BG4;Югозападна и южна централна България (Yugozapadna I Yuzhna Tsentralna Bulgaria);880;870.0;BG41;Югозападен (Yugozapaden)
870;630.0;BG4;Югозападна и южна централна България (Yugozapadna I Yuzhna Tsentralna Bulgaria);940;870.0;BG42;Южен централен (Yuzhen tsentralen)
1000;630.0;BGZ;Extra-Regio NUTS 1;1010;1000.0;BGZZ;Extra-Regio NUTS 2
1040;1030.0;CZ0;Česko;1050;1040.0;CZ01;Praha
1040;1030.0;CZ0;Česko;1070;1040.0;CZ02;Střední Čechy
1040;1030.0;CZ0;Česko;1090;1040.0;CZ03;Jihozápad
1040;1030.0;CZ0;Česko;1120;1040.0;CZ04;Severozápad
1040;1030.0;CZ0;Česko;1150;1040.0;CZ05;Severovýchod
1040;1030.0;CZ0;Česko;1190;1040.0;CZ06;Jihovýchod
1040;1030.0;CZ0;Česko;1220;1040.0;CZ07;Střední Morava
1040;1030.0;CZ0;Česko;1250;1040.0;CZ08;Moravskoslezsko
1270;1030.0;CZZ;Extra-Regio NUTS 1;1280;1270.0;CZZZ;Extra-Regio NUTS 2
1310;1300.0;DK0;Danmark;1320;1310.0;DK01;Hovedstaden
1310;1300.0;DK0;Danmark;1370;1310.0;DK02;Sjælland
1310;1300.0;DK0;Danmark;1400;1310.0;DK03;Syddanmark
1310;1300.0;DK0;Danmark;1430;1310.0;DK04;Midtjylland
1310;1300.0;DK0;Danmark;1460;1310.0;DK05;Nordjylland
1480;1300.0;DKZ;Extra-Regio NUTS 1;1490;1480.0;DKZZ;Extra-Regio NUTS 2
1520;1510.0;DE1;Baden-Württemberg;1530;1520.0;DE11;Stuttgart
1520;1510.0;DE1;Baden-Württemberg;1670;1520.0;DE12;Karlsruhe
1520;1510.0;DE1;Baden-Württemberg;1800;1520.0;DE13;Freiburg
1520;1510.0;DE1;Baden-Württemberg;1910;1520.0;DE14;Tübingen
2010;1510.0;DE2;Bayern;2020;2010.0;DE21;Oberbayern
2010;1510.0;DE2;Bayern;2260;2010.0;DE22;Niederbayern
2010;1510.0;DE2;Bayern;2390;2010.0;DE23;Oberpfalz
2010;1510.0;DE2;Bayern;2500;2010.0;DE24;Oberfranken
2010;1510.0;DE2;Bayern;2640;2010.0;DE25;Mittelfranken
2010;1510.0;DE2;Bayern;2770;2010.0;DE26;Unterfranken
2010;1510.0;DE2;Bayern;2900;2010.0;DE27;Schwaben
3050;1510.0;DE3;Berlin;3060;3050.0;DE30;Berlin
3080;1510.0;DE4;Brandenburg;3090;3080.0;DE40;Brandenburg
3280;1510.0;DE5;Bremen;3290;3280.0;DE50;Bremen
3320;1510.0;DE6;Hamburg;3330;3320.0;DE60;Hamburg
3350;1510.0;DE7;Hessen;3360;3350.0;DE71;Darmstadt
3350;1510.0;DE7;Hessen;3510;3350.0;DE72;Gießen
3350;1510.0;DE7;Hessen;3570;3350.0;DE73;Kassel
3650;1510.0;DE8;Mecklenburg-Vorpommern;3660;3650.0;DE80;Mecklenburg-Vorpommern
3750;1510.0;DE9;Niedersachsen;3760;3750.0;DE91;Braunschweig
3750;1510.0;DE9;Niedersachsen;3870;3750.0;DE92;Hannover
3750;1510.0;DE9;Niedersachsen;3950;3750.0;DE93;Lüneburg
3750;1510.0;DE9;Niedersachsen;4070;3750.0;DE94;Weser-Ems
4250;1510.0;DEA;Nordrhein-Westfalen;4260;4250.0;DEA1;Düsseldorf
4250;1510.0;DEA;Nordrhein-Westfalen;4420;4250.0;DEA2;Köln
4250;1510.0;DEA;Nordrhein-Westfalen;4540;4250.0;DEA3;Münster
4250;1510.0;DEA;Nordrhein-Westfalen;4630;4250.0;DEA4;Detmold
4250;1510.0;DEA;Nordrhein-Westfalen;4710;4250.0;DEA5;Arnsberg
4840;1510.0;DEB;Rheinland-Pfalz;4850;4840.0;DEB1;Koblenz
4840;1510.0;DEB;Rheinland-Pfalz;4970;4840.0;DEB2;Trier
4840;1510.0;DEB;Rheinland-Pfalz;5030;4840.0;DEB3;Rheinhessen-Pfalz
5240;1510.0;DEC;Saarland;5250;5240.0;DEC0;Saarland
5320;1510.0;DED;Sachsen;5330;5320.0;DED2;Dresden
5320;1510.0;DED;Sachsen;5390;5320.0;DED4;Chemnitz
5320;1510.0;DED;Sachsen;5450;5320.0;DED5;Leipzig
5490;1510.0;DEE;Sachsen-Anhalt;5500;5490.0;DEE0;Sachsen-Anhalt
5650;1510.0;DEF;Schleswig-Holstein;5660;5650.0;DEF0;Schleswig-Holstein
5820;1510.0;DEG;Thüringen;5830;5820.0;DEG0;Thüringen
6070;1510.0;DEZ;Extra-Regio NUTS 1;6080;6070.0;DEZZ;Extra-Regio NUTS 2
6110;6100.0;EE0;Eesti;6120;6110.0;EE00;Eesti
6180;6100.0;EEZ;Extra-Regio NUTS 1;6190;6180.0;EEZZ;Extra-Regio NUTS 2
6220;6210.0;IE0;Ireland;6230;6220.0;IE04;Northern and Western
6220;6210.0;IE0;Ireland;6260;6220.0;IE05;Southern
6220;6210.0;IE0;Ireland;6300;6220.0;IE06;Eastern and Midland
6340;6210.0;IEZ;Extra-Regio NUTS 1;6350;6340.0;IEZZ;Extra-Regio NUTS 2
6380;6370.0;EL3;Αττική (Attiki);6390;6380.0;EL30;Aττική (Attiki)
6470;6370.0;EL4;Νησιά Αιγαίου, Κρήτη (Nisia Aigaiou, Kriti);6480;6470.0;EL41;Βόρειο Αιγαίο (Voreio Aigaio)
6470;6370.0;EL4;Νησιά Αιγαίου, Κρήτη (Nisia Aigaiou, Kriti);6520;6470.0;EL42;Νότιο Αιγαίο (Notio Aigaio)
6470;6370.0;EL4;Νησιά Αιγαίου, Κρήτη (Nisia Aigaiou, Kriti);6550;6470.0;EL43;Κρήτη (Kriti)
6600;6370.0;EL5;Βόρεια Ελλάδα (Voreia Ellada);6610;6600.0;EL51;Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)
6600;6370.0;EL5;Βόρεια Ελλάδα (Voreia Ellada);6670;6600.0;EL52;Κεντρική Μακεδονία (Kentriki Makedonia)
6600;6370.0;EL5;Βόρεια Ελλάδα (Voreia Ellada);6750;6600.0;EL53;Δυτική Μακεδονία (Dytiki Makedonia)
6600;6370.0;EL5;Βόρεια Ελλάδα (Voreia Ellada);6790;6600.0;EL54;Ήπειρος (Ipeiros)
6830;6370.0;EL6;Κεντρική Ελλάδα (Kentriki Ellada);6840;6830.0;EL61;Θεσσαλία (Thessalia)
6830;6370.0;EL6;Κεντρική Ελλάδα (Kentriki Ellada);6880;6830.0;EL62;Ιόνια Νησιά (Ionia Nisia)
