Code;Parent;NUTS-Code;Description
20;10.0;BE1;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
50;10.0;BE2;Vlaams Gewest
330;10.0;BE3;Région wallonne
600;10.0;BEZ;Extra-Regio NUTS 1
640;630.0;BG3;Северна и югоизточна България (Severna I Yugoiztochna Bulgaria)
870;630.0;BG4;Югозападна и южна централна България (Yugozapadna I Yuzhna Tsentralna Bulgaria)
1000;630.0;BGZ;Extra-Regio NUTS 1
1040;1030.0;CZ0;Česko
1270;1030.0;CZZ;Extra-Regio NUTS 1
1310;1300.0;DK0;Danmark
1480;1300.0;DKZ;Extra-Regio NUTS 1
1520;1510.0;DE1;Baden-Württemberg
2010;1510.0;DE2;Bayern
3050;1510.0;DE3;Berlin
3080;1510.0;DE4;Brandenburg
3280;1510.0;DE5;Bremen
3320;1510.0;DE6;Hamburg
3350;1510.0;DE7;Hessen
3650;1510.0;DE8;Mecklenburg-Vorpommern
3750;1510.0;DE9;Niedersachsen
4250;1510.0;DEA;Nordrhein-Westfalen
4840;1510.0;DEB;Rheinland-Pfalz
5240;1510.0;DEC;Saarland
5320;1510.0;DED;Sachsen
5490;1510.0;DEE;Sachsen-Anhalt
5650;1510.0;DEF;Schleswig-Holstein
5820;1510.0;DEG;Thüringen
6070;1510.0;DEZ;Extra-Regio NUTS 1
6110;6100.0;EE0;Eesti
6180;6100.0;EEZ;Extra-Regio NUTS 1
6220;6210.0;IE0;Ireland
6340;6210.0;IEZ;Extra-Regio NUTS 1
6380;6370.0;EL3;Αττική (Attiki)
6470;6370.0;EL4;Νησιά Αιγαίου, Κρήτη (Nisia Aigaiou, Kriti)
6600;6370.0;EL5;Βόρεια Ελλάδα (Voreia Ellada)
6830;6370.0;EL6;Κεντρική Ελλάδα (Kentriki Ellada)
7070;6370.0;ELZ;Extra-Regio NUTS 1
7110;7100.0;ES1;Noroeste
7210;7100.0;ES2;Noreste
7340;7100.0;ES3;Comunidad de Madrid
7370;7100.0;ES4;Centro (ES)
7570;7100.0;ES5;Este
7710;7100.0;ES6;Sur
7870;7100.0;ES7;Canarias
7960;7100.0;ESZ;Extra-Regio NUTS 1
8000;7990.0;FR1;Ile-de-France
8100;7990.0;FRB;Centre - Val de Loire
8180;7990.0;FRC;Bourgogne-Franche-Comté
8290;7990.0;FRD;Normandie
8370;7990.0;FRE;Hauts-de-France
8450;7990.0;FRF;Grand Est
8590;7990.0;FRG;Pays de la Loire
8660;7990.0;FRH;Bretagne
8720;7990.0;FRI;Nouvelle-Aquitaine
8880;7990.0;FRJ;Occitanie
9040;7990.0;FRK;Auvergne-Rhône-Alpes
9190;7990.0;FRL;Provence-Alpes-Côte d’Azur
9270;7990.0;FRM;Corse
