Code;Parent;NUTS-Code;Description
30;20.0;BE10;Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
60;50.0;BE21;Prov. Antwerpen
100;50.0;BE22;Prov. Limburg (BE)
140;50.0;BE23;Prov. Oost-Vlaanderen
210;50.0;BE24;Prov. Vlaams-Brabant
240;50.0;BE25;Prov. West-Vlaanderen
340;330.0;BE31;Prov. Brabant Wallon
360;330.0;BE32;Prov. Hainaut
440;330.0;BE33;Prov. Liège
500;330.0;BE34;Prov. Luxembourg (BE)
560;330.0;BE35;Prov. Namur
610;600.0;BEZZ;Extra-Regio NUTS 2
650;640.0;BG31;Северозападен (Severozapaden)
710;640.0;BG32;Северен централен (Severen tsentralen)
770;640.0;BG33;Североизточен (Severoiztochen)
820;640.0;BG34;Югоизточен (Yugoiztochen)
880;870.0;BG41;Югозападен (Yugozapaden)
940;870.0;BG42;Южен централен (Yuzhen tsentralen)
1010;1000.0;BGZZ;Extra-Regio NUTS 2
1050;1040.0;CZ01;Praha
1070;1040.0;CZ02;Střední Čechy
1090;1040.0;CZ03;Jihozápad
1120;1040.0;CZ04;Severozápad
1150;1040.0;CZ05;Severovýchod
1190;1040.0;CZ06;Jihovýchod
1220;1040.0;CZ07;Střední Morava
1250;1040.0;CZ08;Moravskoslezsko
1280;1270.0;CZZZ;Extra-Regio NUTS 2
1320;1310.0;DK01;Hovedstaden
1370;1310.0;DK02;Sjælland
1400;1310.0;DK03;Syddanmark
1430;1310.0;DK04;Midtjylland
1460;1310.0;DK05;Nordjylland
1490;1480.0;DKZZ;Extra-Regio NUTS 2
1530;1520.0;DE11;Stuttgart
1670;1520.0;DE12;Karlsruhe
1800;1520.0;DE13;Freiburg
1910;1520.0;DE14;Tübingen
2020;2010.0;DE21;Oberbayern
2260;2010.0;DE22;Niederbayern
2390;2010.0;DE23;Oberpfalz
2500;2010.0;DE24;Oberfranken
2640;2010.0;DE25;Mittelfranken
2770;2010.0;DE26;Unterfranken
2900;2010.0;DE27;Schwaben
3060;3050.0;DE30;Berlin
3090;3080.0;DE40;Brandenburg
3290;3280.0;DE50;Bremen
3330;3320.0;DE60;Hamburg
3360;3350.0;DE71;Darmstadt
3510;3350.0;DE72;Gießen
3570;3350.0;DE73;Kassel
3660;3650.0;DE80;Mecklenburg-Vorpommern
3760;3750.0;DE91;Braunschweig
3870;3750.0;DE92;Hannover
3950;3750.0;DE93;Lüneburg
4070;3750.0;DE94;Weser-Ems
4260;4250.0;DEA1;Düsseldorf
4420;4250.0;DEA2;Köln
4540;4250.0;DEA3;Münster
4630;4250.0;DEA4;Detmold
4710;4250.0;DEA5;Arnsberg
4850;4840.0;DEB1;Koblenz
4970;4840.0;DEB2;Trier
5030;4840.0;DEB3;Rheinhessen-Pfalz
5250;5240.0;DEC0;Saarland
5330;5320.0;DED2;Dresden
5390;5320.0;DED4;Chemnitz
5450;5320.0;DED5;Leipzig
5500;5490.0;DEE0;Sachsen-Anhalt
5660;5650.0;DEF0;Schleswig-Holstein
5830;5820.0;DEG0;Thüringen
6080;6070.0;DEZZ;Extra-Regio NUTS 2
6120;6110.0;EE00;Eesti
6190;6180.0;EEZZ;Extra-Regio NUTS 2
6230;6220.0;IE04;Northern and Western
6260;6220.0;IE05;Southern
6300;6220.0;IE06;Eastern and Midland
6350;6340.0;IEZZ;Extra-Regio NUTS 2
6390;6380.0;EL30;Aττική (Attiki)
6480;6470.0;EL41;Βόρειο Αιγαίο (Voreio Aigaio)
6520;6470.0;EL42;Νότιο Αιγαίο (Notio Aigaio)
6550;6470.0;EL43;Κρήτη (Kriti)
6610;6600.0;EL51;Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)
6670;6600.0;EL52;Κεντρική Μακεδονία (Kentriki Makedonia)
6750;6600.0;EL53;Δυτική Μακεδονία (Dytiki Makedonia)
6790;6600.0;EL54;Ήπειρος (Ipeiros)
6840;6830.0;EL61;Θεσσαλία (Thessalia)
6880;6830.0;EL62;Ιόνια Νησιά (Ionia Nisia)
6930;6830.0;EL63;Δυτική Ελλάδα (Dytiki Ellada)
6970;6830.0;EL64;Στερεά Ελλάδα (Sterea Ellada)
7030;6830.0;EL65;Πελοπόννησος (Peloponnisos)
7080;7070.0;ELZZ;Extra-Regio NUTS 2
7120;7110.0;ES11;Galicia
7170;7110.0;ES12;Principado de Asturias
7190;7110.0;ES13;Cantabria
7220;7210.0;ES21;País Vasco
7260;7210.0;ES22;Comunidad Foral de Navarra
7280;7210.0;ES23;La Rioja
7300;7210.0;ES24;Aragón
7350;7340.0;ES30;Comunidad de Madrid
7380;7370.0;ES41;Castilla y León
